"will","remove","you","free","charExclamation","charDollar","type"
0,0,0,0,0,0,"spam"
1.05,2.1,4.21,0,0,0,"spam"
0.49,0,0.24,0.24,0,0,"spam"
0.89,0.05,2.9,0.11,0.363,0.535,"spam"
0,0,2.53,0,0.649,0,"spam"
0,0,0,0,0.189,0.189,"spam"
0,0,2.66,0,0.699,0,"spam"
2.26,0.25,4.03,0.5,0.375,0.034,"spam"
1.03,0,3.62,1.03,0.176,0.176,"spam"
0.98,0.19,2.56,0.98,0.745,0.308,"spam"
0.98,0.19,2.56,0.98,0.749,0.31,"spam"
0.98,0.19,2.56,0.98,0.741,0.306,"spam"
1.05,2.1,4.21,0,0,0,"spam"
0,0,0,0,0,0.338,"spam"
0.97,0.27,3.88,0,1.316,0.177,"spam"
0.15,0,0.93,0,0.095,0.023,"spam"
0.72,0,2,0,0.242,0.03,"spam"
0.97,0.27,3.91,0,1.294,0.182,"spam"
0.98,0.19,2.56,0.98,0.749,0.31,"spam"
0.57,0,0.28,0,0,0,"spam"
0.36,0,3.63,1.81,0.125,0,"spam"
0.47,0.23,2.83,0.23,0.072,0.108,"spam"
0,0,0,0,0.277,0,"spam"
1.51,0,7.57,0,0,0,"spam"
0.54,1.08,3.26,2.17,0.334,0,"spam"
1.81,0.56,2.38,0.22,0.574,0.134,"spam"
1.36,0,4.76,0.68,1.255,0,"spam"
0.33,0.11,0,0,0.034,0.12,"spam"
0,0.76,0.76,0,0.274,0,"spam"
0.11,0,3.07,0.11,0.388,0.236,"spam"
0,0,3.77,0,0,0,"spam"
0,1.28,1.28,0.64,0.085,0.17,"spam"
0,0,2.24,0,3.333,0,"spam"
0,0.9,1.81,0,0.546,0,"spam"
1.01,0.05,3.3,0.21,0.322,0.626,"spam"
0.79,0.79,2.37,0,0.612,0.183,"spam"
1.16,0,4.06,0,0.192,0,"spam"
1.38,0,2.07,0,1.718,0.055,"spam"
1.55,0,4.9,0.77,0.359,0.403,"spam"
0,0,0.62,1.24,0.321,0.107,"spam"
0,0,0,0,0,0,"spam"
0,0.84,3.36,0.84,0.519,0,"spam"
0.71,0,4.31,1.43,0.132,0,"spam"
0.82,0,2.01,0,0.246,0.03,"spam"
0.34,0,3.53,0,0.265,0.132,"spam"
0,0.44,1.76,0,0.433,0.361,"spam"
0.7,0.5,1.31,0.1,0.474,0.152,"spam"
0.34,0,3.53,0,0.265,0.132,"spam"
0.77,0,3.06,0.23,0.438,0.585,"spam"
0.9,0,4.52,0.45,2.115,0.07,"spam"
0.33,0,1.79,0.56,0.392,0.176,"spam"
0,0,3.77,0,0,0,"spam"
0,0,3.82,0,1.096,0.109,"spam"
0,0,3.37,0,0.218,0,"spam"
0,0,2.04,0,0.125,0,"spam"
0.94,0.47,1.88,0.94,0.218,0,"spam"
1.47,0,7.35,0,0,0,"spam"
1.07,0.19,3.71,0,0.404,0.224,"spam"
0,0,1.65,0,0.113,0,"spam"
0.59,0,4.09,0.09,0.19,0.247,"spam"
0.68,1.37,0.34,0,0.206,0.309,"spam"
0,0,0.85,0,0,0,"spam"
0.36,0.36,2.21,0.36,0.414,0.888,"spam"
1.25,0.62,3.76,1.56,0.77,0,"spam"
0.5,0.4,2.34,0.1,0.928,0.384,"spam"
0,0,6.55,0,0,0,"spam"
0.7,0.03,3.18,0.24,0.452,0.528,"spam"
1.49,0,7.46,0,0,0,"spam"
0,0.17,0.17,0.17,0.167,0.027,"spam"
0.64,0,1.62,0.32,1.065,0,"spam"
1.41,0,0.84,0,1.294,0.043,"spam"
0.64,0,2.59,0.32,0.531,0,"spam"
1.27,0,3.01,0.58,0.127,0.182,"spam"
0.63,1.27,4.45,0,0.983,0.089,"spam"
0,0.44,1.76,0,0.43,0.358,"spam"
0.42,0,3.79,0.42,0.472,0.472,"spam"
0,2.94,0,0,0.425,0.141,"spam"
0.57,0.57,4.57,0,0.072,0.289,"spam"
1.78,1.78,6.25,0,1.344,0,"spam"
0,4.08,2.04,0,0.257,0,"spam"
0,2.94,0,0,0.427,0.142,"spam"
0,0,2.17,6.52,1.149,0,"spam"
0.13,0.13,0.39,0.13,0.366,0,"spam"
0,1.94,1.94,2.91,0.52,0.13,"spam"
1.3,0.86,0.43,0,0,0.063,"spam"
0.88,0,3.96,0,0.669,0.297,"spam"
0.65,0,2.61,0.32,0.477,0,"spam"
0.89,0,1.78,0,1.336,0,"spam"
1.32,0.66,2.64,0.66,0.406,0.464,"spam"
1.88,0.94,4.71,0,0.163,1.305,"spam"
0.36,1.1,2.58,0.36,0.435,0.062,"spam"
0.33,0.33,1,0.33,0.372,0.159,"spam"
0,0.15,0.15,0.15,0.352,0.02,"spam"
0.57,0,4.59,0,0.396,0.099,"spam"
1.04,1.04,3.66,0,0.621,0.062,"spam"
0,0,4.76,0,0,0,"spam"
0,0.14,0.42,0.14,0.583,0,"spam"
0.9,0.04,3.49,0.21,0.308,0.672,"spam"
0,0.7,3.16,0,0.23,0,"spam"
0.3,0.61,2.47,0,0.728,0.182,"spam"
0,0,1.13,0.28,0.046,0,"spam"
0.7,0,2.46,0.35,0.897,0,"spam"
0.72,0,4.6,0.24,0.337,0.054,"spam"
0.26,0.13,3.14,0.26,0.022,0.022,"spam"
0,0,1.29,2.59,1.098,0,"spam"
1.53,0,3.55,0,0.246,0.894,"spam"
0,0,0.34,0,0.902,0.106,"spam"
0,0.8,1.61,0.8,0.269,0,"spam"
0,0,6.66,0,1.111,0,"spam"
0.09,0,0.14,0,0.03,0,"spam"
0.82,0.82,2.46,0,0.513,0.114,"spam"
0,0,4.2,0.42,0.644,0.161,"spam"
0.5,0.4,2.22,0.1,0.991,0.39,"spam"
0.09,0,0.14,0,0.034,0,"spam"
1.37,0,3.47,0.32,0.64,0.166,"spam"
1.29,0,1.29,0,0.061,0,"spam"
2.25,0,2.86,0,0.158,0.063,"spam"
0.77,0,2.32,0.77,0.671,0,"spam"
0.56,0,0.88,0,0.233,0.202,"spam"
0.55,0.07,2.76,0.47,1.132,0.077,"spam"
0.7,0.03,3.19,0.24,0.453,0.543,"spam"
0.72,0.03,3.05,0.54,0.337,0.141,"spam"
0,2.22,0,0,0,0.439,"spam"
1.59,0.31,3.19,0,0.323,0,"spam"
0.75,0,4.26,1.5,0,0,"spam"
0,0,1.49,2.23,0.109,0,"spam"
0,0,1.29,2.59,1.098,0,"spam"
0,0,2.58,0,3.851,0,"spam"
0,0.59,0.59,0,0.052,0.105,"spam"
0.7,0.5,1.31,0.1,0.49,0.158,"spam"
0.99,0.66,2.81,0.82,0.248,0.049,"spam"
0.8,0,2.4,0,0.593,0.217,"spam"
0.7,0.5,1.31,0.1,0.49,0.158,"spam"
0.95,0.05,3.16,0,0.406,0.388,"spam"
0.51,0.2,2.15,0.1,0.974,0.396,"spam"
0,0,0,0,0,0,"spam"
0,0,2.15,0.71,0.128,0,"spam"
0.81,0.98,0.98,0.49,0.179,0.674,"spam"
0.6,0.4,2.22,0.1,0.977,0.397,"spam"
0,4,0,0,0,0,"spam"
0.42,0.42,2.11,0,0.244,0.39,"spam"
0.94,0.23,3.76,0.11,0.287,0.107,"spam"
1.49,1.12,4.49,0.37,0.223,0.223,"spam"
0.49,0.49,1.98,0.49,0.847,0.077,"spam"
0.72,0.03,3.05,0.54,0.343,0.141,"spam"
0,0,0,0.47,0.169,0.452,"spam"
0.95,0,1.26,0,0.206,0.206,"spam"
0.47,1.41,1.41,0.47,0.145,0.145,"spam"
0.81,0.98,0.98,0.49,0.179,0.673,"spam"
0.47,1.41,1.41,0.47,0.144,0.288,"spam"
0,1.96,1.96,0,0.334,0,"spam"
0.47,0.7,2.12,1.65,1.362,0.037,"spam"
0,0.38,3.5,0.38,0.122,0,"spam"
0,0.33,0.33,0,0.859,0.101,"spam"
0,0.32,0.32,0,0.858,0.101,"spam"
0.41,0.41,2.06,0.2,0.238,0.034,"spam"
0.7,0.5,1.31,0.1,0.49,0.158,"spam"
1.24,0.49,2.32,0.82,0.25,0.224,"spam"
1.24,0.49,2.32,0.82,0.25,0.224,"spam"
0,0,3.73,0,0.343,0.171,"spam"
0.32,0,1.96,0.32,0.276,0.83,"spam"
0,0.39,3.52,0.39,0.124,0,"spam"
0,0,0,0,0,0,"spam"
0.73,1.47,2.2,0.36,0.367,0.061,"spam"
0.48,0,0.96,0,0.328,0,"spam"
0.51,0.05,4.14,0,0.01,0.161,"spam"
0,0,3.6,0.65,0.529,0.411,"spam"
0.35,0.57,1.5,0.14,0.309,0.103,"spam"
0,0.17,1.24,0,0.278,0.216,"spam"
1.72,0,4.03,0,0.349,0,"spam"
0,0.72,0,1.45,0.124,0.124,"spam"
0.44,0,0.89,0,0.305,0,"spam"
0,0,1.35,1.35,1.836,0,"spam"
0.53,0.26,2.15,0,0,0.04,"spam"
0.44,0,2.24,1.34,0,0,"spam"
0.34,0.34,0.68,0.68,0.224,0.056,"spam"
1.58,1.05,1.05,0.52,0,0,"spam"
0.43,0.43,0.87,0,0.065,0,"spam"
0.4,0.13,0,0,0.021,0,"spam"
0.72,0.24,1.92,1.68,0.677,0.828,"spam"
0.64,0.73,1.38,0.09,0.432,0.135,"spam"
6.25,0,12.5,0,0,0,"spam"
0.34,0.34,0.68,0.68,0.225,0.056,"spam"
0.51,0.51,4.96,0.34,0.126,0,"spam"
0.57,0.57,4.32,1.72,0.19,0,"spam"
0,7.27,0,0,0.291,0,"spam"
0.25,0.5,2.02,0,0.432,0.432,"spam"
1.3,0.32,2.61,0.98,0.103,0,"spam"
0.33,0.16,2.52,0,0.079,0.105,"spam"
0.33,0.16,2.47,0,0.076,0.101,"spam"
0.34,0.17,2.59,0,0.079,0.106,"spam"
0.36,0.36,2.21,0.36,0.435,0.932,"spam"
0.66,0.06,3.6,0,0.41,0.192,"spam"
0,0,1.69,0,0.394,0,"spam"
0.33,0.16,2.37,0,0.08,0.107,"spam"
0,0.38,3.46,0.38,0.117,0,"spam"
0,0,2.8,0,0,0,"spam"
0,0,0.85,0,0.371,0.046,"spam"
0,0,2.83,0,0,0,"spam"
1.15,0.08,4.16,0.35,0.339,0.162,"spam"
0.94,0.47,1.88,0.94,0.224,0,"spam"
0,0,6.25,0.89,1.129,0.483,"spam"
0.18,0.18,0.74,0,0,0.027,"spam"
0.52,0.05,4.24,0,0.02,0.163,"spam"
0,0,0.77,1.16,0.215,0,"spam"
0,0.44,4.42,0,0.301,0,"spam"
2.24,0.24,3.99,0.49,0.315,0.035,"spam"
0,0,0,0.52,0.077,0,"spam"
0,0,3.87,0,1.179,0.117,"spam"
0.84,0.42,2.95,1.68,0.072,1.457,"spam"
0,0,0.88,0.88,0.064,0.128,"spam"
0,0.98,1.47,0,0,0,"spam"
0.68,0.49,1.28,0.09,0.393,0.145,"spam"
0,1.47,0,0,0,0.248,"spam"
0.52,0,4.17,0,0.01,0.165,"spam"
6.06,0,9.09,0,0,0,"spam"
0.81,0,1.99,0,0.253,0.031,"spam"
0.33,0.11,0,0,0.035,0.124,"spam"
0.64,0.64,3.89,0,0.921,0.345,"spam"
0,0,0.47,0,0.267,0,"spam"
0.21,0.1,0,0,0.033,0.118,"spam"
0.72,0,2,0,0.252,0.031,"spam"
0.72,0,2,0,0.252,0.031,"spam"
0.54,1.08,3.26,2.17,0.347,0,"spam"
0.98,0.65,2.61,0,0.288,0.173,"spam"
0.98,0.19,2.56,0.98,0.766,0.317,"spam"
0,0.31,0.93,0,0.61,0,"spam"
0.67,0,2.02,0.5,0.613,0.229,"spam"
1.79,0,1.79,0.11,0.056,0.056,"spam"
0,0.72,1.45,0,0.134,0,"spam"
0.72,0,2,0,0.237,0.031,"spam"
0.82,0.82,2.75,0.82,0.235,0.188,"spam"
0.37,0.37,1.85,1.11,0,0,"spam"
0.68,0,3.4,0,0.238,0.238,"spam"
0.5,1.01,1.77,1.26,0.189,0,"spam"
0.82,0.07,3.29,0,0.119,0.071,"spam"
0.59,0.25,1.61,0.25,0.408,0.118,"spam"
0,0,1.28,0,0.61,0,"spam"
0.56,0.56,1.97,1.41,0.158,0,"spam"
0,0,2.45,0,0.124,0,"spam"
0,0,0.34,0,0.898,0.105,"spam"
0,0,0,0,0.221,0.665,"spam"
0,1.02,0.51,0,0.071,1.212,"spam"
2.43,0,1.95,0.48,1.739,0.173,"spam"
0,0,0.34,0,0.898,0.105,"spam"
0.72,0,2,0,0.237,0.031,"spam"
0.59,0.25,1.61,0.25,0.408,0.118,"spam"
0,0,3.48,0,0,0,"spam"
0,0,2.7,0,0.636,0,"spam"
0,0,0,0,0,0.184,"spam"
0.79,0.03,3,0.25,0.458,2.33,"spam"
0.46,0.11,3.72,0,0.131,0.056,"spam"
1,0.33,2.68,1,0.16,0,"spam"
2.38,0,1.9,0.47,1.687,0.168,"spam"
2.33,0,1.86,0.46,1.683,0.168,"spam"
0.73,0,2.01,0,0.257,0.032,"spam"
0,0.73,1.47,2.2,0.088,0,"spam"
0,0.63,0.63,0.63,0.979,0,"spam"
0,0.74,1.48,2.22,0.088,0,"spam"
0.11,0,3.21,0.11,0.418,0.254,"spam"
0,0.73,1.47,0.73,0.875,0.109,"spam"
0,0,2.04,1.36,1.001,0,"spam"
0.71,0.13,3.19,0.27,0.445,0.519,"spam"
1.69,0,5.77,0.33,0.123,0.278,"spam"
0,0,0,0,0.396,0,"spam"
0.63,0,1.27,0,0.03,0.015,"spam"
1.06,0,2.65,0,0.095,0.478,"spam"
1.05,0,2.64,0,0.095,0.475,"spam"
1.02,0,2.56,0,0.094,0.473,"spam"
0.84,0,1.69,2,0.384,0.182,"spam"
1.11,1.11,3.33,2.22,0.138,0.138,"spam"
1.42,0.15,2.05,0,1.3,0.127,"spam"
0.91,0.91,4.58,0.91,0.455,0,"spam"
1.42,0.15,2.05,0,1.3,0.127,"spam"
0.32,0.64,2.27,0.32,0,0.166,"spam"
0,1.26,0,0,0,0.215,"spam"
0.5,0.1,1.72,0.91,0.336,0.16,"spam"
0,0,0,0,0.016,0,"spam"
0,0,0,0,0.424,0.424,"spam"
1.18,1.18,4.14,0,0.421,0,"spam"
0,4.54,0,0,0,0,"spam"
0.39,0.52,1.3,0.13,0.287,0.106,"spam"
2.46,0,6.17,0,0.843,0,"spam"
2.25,0,0.75,0,2.224,1.223,"spam"
2.27,0,0.75,0,2.249,1.237,"spam"
0.62,0.2,2.08,0,0.334,0.175,"spam"
0,0,6.17,0,1.235,0,"spam"
0,0,0,0,0.441,0.662,"spam"
0.95,0.31,2.54,0.95,0.102,0,"spam"
0,0,1.02,2.04,0.174,0,"spam"
0,0,0.98,1.96,0.173,0,"spam"
0.78,0,1.17,3.51,0.864,0.132,"spam"
1.42,0,0,1.42,0,0,"spam"
0.48,0.09,1.66,0.87,0.326,0.155,"spam"
0.62,0.1,0,0,0.016,0.064,"spam"
0.52,0.04,0.24,0,0.007,0.099,"spam"
1.27,0,2.73,1.18,0.611,0.014,"spam"
0.37,0.74,3.35,0,0.368,0.552,"spam"
0,1.38,0,0,0.235,0.235,"spam"
0.74,0,0.74,3.34,0.878,0.175,"spam"
0.74,0,0.74,3.34,0.878,0.175,"spam"
0,0,3.7,0,4.733,0,"spam"
0,0.17,0,0,0,0,"spam"
0.51,0.05,4.2,0,0.02,0.161,"spam"
0.41,0.83,1.04,0,0.182,0.146,"spam"
0.74,0.37,3.73,0.37,1.199,0.505,"spam"
1.35,0,1.57,0.45,1.599,0.148,"spam"
0.57,0.09,2.01,0.19,0.088,0.124,"spam"
0.44,0,0.66,0,0,0.187,"spam"
0,0,4.34,0,7.843,0,"spam"
0,0,4.76,0,0,0,"spam"
0.73,0,5.14,2.94,0,0,"spam"
2.31,0,1.85,0.46,1.663,0.249,"spam"
2.35,0,1.88,0.47,1.687,0.168,"spam"
0,0.9,5.45,0,2.143,0.612,"spam"
0.82,0.07,3.3,0,0.131,0.071,"spam"
1.28,0,1.28,0,0,0.204,"spam"
0.98,0.49,1.47,2.94,0.862,0,"spam"
2.39,0,1.91,0.47,1.683,0.168,"spam"
2.35,0,1.88,0.47,1.68,0.168,"spam"
0.44,0,2.24,1.34,0,0,"spam"
0.44,0,2.23,1.33,0,0,"spam"
0,0,0.34,0,0.899,0.105,"spam"
0,0,0,0,0,0.389,"spam"
0,0,0.91,0,0.572,0,"spam"
1.33,0,2.66,1.33,1.326,0,"spam"
0.36,0,3.69,0.36,0.238,0.059,"spam"
0,0,0,0,0,0,"spam"
0.76,0.03,2.99,0.24,0.425,0.573,"spam"
0,0,3.76,0.31,0.055,0.111,"spam"
1.13,0.56,2.84,3.97,0.768,0,"spam"
0.89,0,0,0.14,0,0.022,"spam"
0.27,0,2.49,1.1,0.582,0.291,"spam"
1.31,0,1.31,0,0,0.21,"spam"
1.31,0,1.31,0,0,0.21,"spam"
0,2.32,4.65,0,0.701,0.35,"spam"
0.42,0.85,3.41,0.42,0.819,0,"spam"
2.08,1.04,2.08,0,0.263,0,"spam"
0.04,0,1.6,0.04,0.356,0.09,"spam"
0.25,0.5,2.03,0,0.433,0.433,"spam"
0,0,0,0,0,0.182,"spam"
0.31,0,1.7,0.53,0.358,0.188,"spam"
0.75,0.75,2.63,1.87,0.242,0,"spam"
0,1.96,0.98,0.98,1.011,0,"spam"
0.65,0,3,0.21,0.454,0.523,"spam"
0.2,0,2.66,0,0.298,0.149,"spam"
0,0,0,0,0.17,0.341,"spam"
1.31,0,1.31,0,0,0.21,"spam"
0.54,1.63,4.91,0.54,0,0.171,"spam"
0,0,1.3,0.65,1.154,0.524,"spam"
1.17,2.35,2.35,1.17,0.168,0.336,"spam"
0.32,0.32,2.28,0.32,0,0.169,"spam"
0,0,0,0.25,0.174,0.174,"spam"
0.49,0,2.47,0.99,0.478,0,"spam"
0.32,0.32,2.27,0.32,0,0.168,"spam"
0.32,0.32,2.27,0.32,0,0.168,"spam"
0,0,1.56,0.78,0.792,0.339,"spam"
0,0,0.4,0,0.601,0.133,"spam"
0,0,1.57,1.57,0.682,0.341,"spam"
1.89,0,6.06,0.75,0.415,0.138,"spam"
0.96,0.96,3.36,1.44,0.149,0.074,"spam"
0.43,0.43,0.87,0,0.395,0,"spam"
0,0,1.57,1.57,0.682,0.341,"spam"
0,0,2.43,0.81,0.121,0,"spam"
0.66,0,3.11,0.23,0.36,0.524,"spam"
0.43,0.87,4.38,0,1.021,0.218,"spam"
0,0,4.93,1.23,0.234,0,"spam"
1.58,1.58,3.17,1.58,0.371,0,"spam"
0,0,0.9,0,0.559,0,"spam"
0,0,0.98,0,0.185,0.061,"spam"
0.47,0.94,1.89,0,0,0,"spam"
0,0,0.91,0,0.565,0,"spam"
0.28,0,1.15,0.17,0.089,0.079,"spam"
0.28,0,1.04,0.17,0.089,0.079,"spam"
0,0.86,3.47,0.86,0.457,0,"spam"
0,0.86,3.47,0.86,0.759,0,"spam"
0,0,0.38,0,1.008,0.059,"spam"
0,0,0.38,0,1.005,0.059,"spam"
0,0,0.38,0,1.008,0.059,"spam"
0,0,0,0,0.034,0,"spam"
0,0,0,0,0.034,0,"spam"
0.65,1.31,3.28,0,0.522,0,"spam"
0,0,0,0,0.034,0,"spam"
0,0,0,0,0.034,0,"spam"
0.9,0.3,2.4,0.9,0.144,0,"spam"
0.32,0.32,2.27,0.32,0,0.166,"spam"
0.59,0.25,1.62,0.25,0.435,0.118,"spam"
0,0.45,1.83,2.75,2.077,0,"spam"
1.03,1.03,2.06,2.06,0,0,"spam"
1.04,1.04,2.08,2.08,0,0,"spam"
1.03,1.03,2.06,2.06,0,0,"spam"
1.4,0,1.86,1.4,0.74,0,"spam"
1.21,1.21,4.87,1.21,0,0,"spam"
0.65,0,1.31,1.97,0.198,0.099,"spam"
0.26,0,1.05,0,0.175,0.043,"spam"
0.74,0.74,4.47,0.74,0.355,0.118,"spam"
1.29,0,1.29,0,0,0.208,"spam"
0.02,0,0.07,0.05,0.112,0.018,"spam"
0,0,0.66,0,0.355,0.118,"spam"
0,0,0.67,0,0.356,0.118,"spam"
0,1.07,1.07,0,0,0,"spam"
0.27,0,1.09,0.27,0.142,0.047,"spam"
0,1.07,1.07,0,0,0,"spam"
0.3,0,1.84,0,0.52,0.289,"spam"
1.9,0,3.81,0.23,1.046,0.037,"spam"
0.23,0.23,3.8,0,0.238,0,"spam"
1.9,0,3.81,0.23,1.046,0.037,"spam"
0.28,0,0.86,0.57,1.147,0.191,"spam"
0.9,0.9,5.4,0.9,0.391,0.13,"spam"
0.74,0.74,4.47,0.74,0.355,0.118,"spam"
0.48,0,0.81,1.95,0.134,0.107,"spam"
0.27,0,1.08,1.08,0.458,0.504,"spam"
0,0.21,0.64,0,0.465,0.271,"spam"
0.64,0.64,1.29,0.64,0.522,0.313,"spam"
0.54,1.63,4.91,0.54,0,0.171,"spam"
2.08,0,4.16,0,0.367,0.073,"spam"
2.08,0,2.65,0,0.31,0.112,"spam"
0,0,3.22,0,0.265,0.088,"spam"
1.31,0,1.31,0,0,0.213,"spam"
0,0,3.36,0,0.587,0,"spam"
4.1,0.68,2.73,1.36,1.706,0.2,"spam"
0.77,1.16,2.32,1.93,0.198,0,"spam"
0.82,0.27,2.46,0.82,0.13,0,"spam"
0.62,0,3.14,1.25,0.39,0.438,"spam"
0,0,3.29,1.09,0.371,0,"spam"
0.7,0.5,1.31,0.1,0.491,0.158,"spam"
0,0,3.27,0,0.26,0,"spam"
1.24,0,1.86,0.62,1.105,0.201,"spam"
0,0,0.41,0.41,0.312,0.062,"spam"
0,1.65,2.47,2.47,0.199,0,"spam"
0,1.65,2.47,2.47,0.199,0,"spam"
0,1.65,2.47,2.47,0.199,0,"spam"
0,0,3.89,1.29,0.236,0,"spam"
2.25,0,1.8,0.45,1.626,0.162,"spam"
2.26,0,1.8,0.45,1.631,0.244,"spam"
2.29,0,1.83,0.45,1.633,0.245,"spam"
0.41,0.41,1.23,2.47,0.53,0.132,"spam"
1.57,0,3.75,0,5.848,1.313,"spam"
1.31,0,1.31,0,0,0.212,"spam"
1.31,0,1.31,0,0,0.212,"spam"
1.8,0,2.7,0.3,0.189,0.141,"spam"
0.47,0.94,4.24,0,1.254,0.221,"spam"
0.72,0,1.08,0.36,1.203,0.467,"spam"
0,0,2.94,7.35,1.272,0.254,"spam"
0,0,2.94,7.35,1.272,0.254,"spam"
0,0.51,3.1,0,0.18,0,"spam"
0,0.5,3.04,0,0.178,0,"spam"
0.74,0,1.48,0.37,1.211,0.471,"spam"
1.57,0,3.75,0,5.84,1.311,"spam"
0.72,0,1.08,0.36,1.203,0.467,"spam"
0.75,0,2.26,0,0.376,0.05,"spam"
0.15,0,1.51,0,0.087,0,"spam"
0.95,0.06,3.82,0,0.133,0.041,"spam"
0,0,0.91,0,0.573,0,"spam"
0.28,0,1.09,0.17,0.099,0.079,"spam"
0,0,3.57,1.19,0.204,0,"spam"
0,0.44,2.24,0.44,0.482,0.896,"spam"
1.55,0,2.32,0.77,0.672,0.403,"spam"
0.98,0.14,1.82,0,0.045,0.342,"spam"
0.7,0.5,1.31,0.1,0.49,0.158,"spam"
1.6,0,2.4,0.8,0.823,0,"spam"
0,0,3.27,1.63,0.8,0.266,"spam"
0.69,0.69,3.49,0,0.196,0,"spam"
1.04,0,3.66,1.04,0.539,0.269,"spam"
0.32,0.32,2.28,0.32,0,0.166,"spam"
0.32,0.32,2.28,0.32,0,0.166,"spam"
0.59,0.25,1.62,0.25,0.486,0.118,"spam"
0.52,0.05,4.21,0,0.01,0.167,"spam"
1.62,0,4.87,0,0.874,0.051,"spam"
2.65,0,3.53,0.44,0.663,0.132,"spam"
1.14,0,3.44,4.59,1.939,0,"spam"
0,0,0,0,0.606,0.606,"spam"
0,0,2.7,0,0,0,"spam"
0,0,0.91,0,0.567,0,"spam"
0.7,0.7,6,0.7,0.381,0.063,"spam"
2.05,2.73,4.1,0,1.244,0,"spam"
0.27,0.55,0.55,0,0.301,0,"spam"
0.48,0.09,0.77,0,0.559,0.047,"spam"
0,1.61,0,1.61,0.804,0,"spam"
0,0.97,0,0.97,0,0.167,"spam"
0.56,2.25,3.38,0,0.503,0,"spam"
0.5,0.4,2.23,0.1,0.976,0.397,"spam"
0,0,1.61,0.8,1.562,0.36,"spam"
1.31,0,1.31,0,0,0.212,"spam"
0,1.47,0,1.47,0.508,0.169,"spam"
0.28,0,1.04,0.17,0.099,0.079,"spam"
0,0.81,1.22,0,0,0.123,"spam"
0.87,0.58,2.62,0,0,0.271,"spam"
0.54,0.06,4.41,0,0.01,0.169,"spam"
0.1,0,0.45,0.03,0.029,0.011,"spam"
0.41,0,3.73,0.41,0.481,0.549,"spam"
0.24,0.08,1.87,0.08,0.55,0.082,"spam"
0.5,0.4,2.23,0.1,0.977,0.397,"spam"
0.22,0.45,1.58,0.22,0.037,0.15,"spam"
1.31,0,1.31,0,0,0.212,"spam"
0,0,1.22,0.4,0.198,0,"spam"
0,0.38,3.43,0.38,0.121,0,"spam"
0,1.78,0,0,0.544,0,"spam"
0.75,0,1.16,0,0.472,0.092,"spam"
0,1.36,0,1.36,0.17,0.17,"spam"
0.76,0,2.3,0,2.894,0.868,"spam"
0,0,3.27,0.81,0.258,0,"spam"
1.51,0.33,2.02,0,1.151,0.056,"spam"
1.58,0,3.75,0,5.213,0.979,"spam"
0,0,0,4,2.597,0,"spam"
0.52,0.05,4.25,0,0.01,0.162,"spam"
0,0.27,2.45,0,0.489,0.04,"spam"
0,0,3.22,0.8,0.511,0,"spam"
0.55,2.2,3.31,0,0.496,0,"spam"
0.55,2.2,3.31,0,0.496,0,"spam"
0.31,0.31,2.55,0.31,0,0.162,"spam"
0.69,0.69,5.9,0.69,0.379,0.063,"spam"
0,1.56,0,1.56,0,0.183,"spam"
0.54,2.16,3.24,0,0.488,0,"spam"
0.28,0.28,1.01,1.88,0.21,0,"spam"
0.88,0,1.32,0.22,0.13,0.196,"spam"
0.73,0,2.2,0,0.388,0.048,"spam"
1.48,0.07,3.55,0,0.167,0.167,"spam"
0.31,0.31,2.55,0.31,0,0.163,"spam"
0.31,0.31,2.55,0.31,0,0.163,"spam"
0.52,0.05,4.21,0,0.01,0.167,"spam"
0.48,0.97,4.36,0,1.085,0.232,"spam"
0.41,0,3.73,0.41,0.48,0.549,"spam"
0.51,0.08,3,0.08,0.261,0.294,"spam"
0,0,0,0,0.233,0,"spam"
0,1.63,1.63,0,0,0,"spam"
0.6,0.08,1.2,0,0.092,0.014,"spam"
0.6,0.08,1.2,0,0.092,0.014,"spam"
1.38,0.34,4.86,0.69,0.638,0.174,"spam"
0.87,0.29,2.61,0.87,0.14,0,"spam"
0.45,0.45,0.9,0,0.072,0,"spam"
0.4,0.2,3.44,0.4,0.133,0.066,"spam"
0,1.33,1.33,0,0.213,1.492,"spam"
0.88,0.44,3.32,0.44,0.588,0.156,"spam"
0.9,0,6.36,0,0.292,0,"spam"
0,0.74,0,0,0.467,0.233,"spam"
0.28,0.28,1.7,0.14,0.13,0,"spam"
0.37,0.37,2.65,0.37,0.882,0.189,"spam"
0,0,2.66,0,1.799,0.514,"spam"
1.09,0,2.54,0.72,0.963,0.113,"spam"
0.54,1.08,4.32,0.54,1.218,0.261,"spam"
0,0,1.81,1.81,0.628,0.943,"spam"
0,0.48,1.92,0.48,0.515,0.957,"spam"
0.98,0,2.94,0.98,0.278,0,"spam"
0,0,4.44,0,0.833,0,"spam"
0,0.18,0.56,1.89,0,0,"spam"
1.82,0,2.74,0.3,0.191,0.143,"spam"
1.33,0,2.66,1.33,1.326,0,"spam"
0.64,0.03,2.75,0.51,0.379,0.136,"spam"
1.81,0,2.72,0.3,0.19,0.142,"spam"
0,0.58,0.58,0.58,0.239,0.239,"spam"
0,0.46,2.8,0,0.37,0,"spam"
0.3,0,2.12,0.3,0,0.211,"spam"
0.3,0,2.11,0.3,0,0.21,"spam"
0,0,3.57,0,0.103,0,"spam"
